"","Latitude","Longitude","tLU_INDEX","cLU_INDEX","Mean_CTRL_ALBEDO","Mean_t00X_ALBEDO","delta_ALBEDO_t00X","Mean_CTRL_SWDOWN","Mean_t00X_SWDOWN","delta_SWDOWN_t00X"
"1",36.2738227844238,-79.8591918945313,4,4,0.188226749432433,0.188001872387691,-0.000224877044741556,260.876208359753,260.386317201658,-0.489891158095588
"2",36.2772369384766,-79.9259643554688,4,4,0.188493146717771,0.188474594315792,-1.85524019796768e-05,260.242498876102,259.931298280474,-0.311200595628122
"3",36.2872695922852,-80.1263427734375,4,4,0.188027113034077,0.188191894523419,0.000164781489341681,260.305070109043,260.757918229213,0.452848120169563
"4",36.2921714782715,-80.2265625,4,4,0.188073284885564,0.188193489592313,0.000120204706749755,259.632203750754,259.903763227242,0.271559476487596
"5",36.2937850952148,-80.2599487304688,4,4,0.188501222918992,0.188193476134313,-0.000307746784678986,259.651131743382,260.139931117814,0.488799374431835
"6",36.2953948974609,-80.2933349609375,4,4,0.18858909739577,0.188367510403796,-0.000221586991973638,259.483651793536,259.997797615552,0.514145822016076
"7",36.2969932556152,-80.3267517089844,4,4,0.188607893699808,0.188707008337092,9.91146372840424e-05,259.795875329271,260.946995947999,1.1511206187289
"8",36.2990188598633,-79.8236694335938,4,4,0.18769035753256,0.187644530110922,-4.58274216377785e-05,264.432892218052,263.525217849325,-0.907674368726248
"9",36.3017234802246,-80.4269714355469,4,4,0.18872982997879,0.188652631519463,-7.71984593266051e-05,260.874641567328,260.617251351436,-0.257390215892144
"10",36.3024520874023,-79.8904724121094,4,4,0.188163230618442,0.187985626638774,-0.000177603979668456,262.121854193392,260.743234347135,-1.37861984625749
"11",36.3032836914063,-80.4603881835938,4,4,0.188628967958178,0.188578784550682,-5.018340749674e-05,260.74647151968,259.787717000697,-0.958754518983085
"12",36.3041534423828,-79.9238891601563,4,4,0.188113139666058,0.188192416469949,7.92768038908598e-05,261.066405636596,260.648087363688,-0.418318272907698
"13",36.3048439025879,-80.4938049316406,4,4,0.188707429907045,0.188668822192182,-3.86077148625263e-05,260.542086625006,260.342936492145,-0.199150132861291
"14",36.3063774108887,-80.5272216796875,4,4,0.188661251595824,0.188752104209075,9.08526132513132e-05,261.161576375983,261.386159665172,0.224583289189354
"15",36.3075332641602,-79.9906616210938,4,4,0.187483223154809,0.187574313730346,9.10905755370506e-05,261.775111393333,261.855319386359,0.0802079930259083
"16",36.3079147338867,-80.5606384277344,4,4,0.188625427710749,0.188766507291594,0.000141079580845388,260.971652338444,261.003742245788,0.0320899073437317
